ffmpeg_vp9, cpu0 crf, 16, 8423.8, 49.83758, 0.99457, 0.0, 98.806413, 13.945771296336725
ffmpeg_vp9, cpu0 crf, 24, 5823.6, 48.165279, 0.992946, 0.0, 98.423331, 13.504714388397954
ffmpeg_vp9, cpu0 crf, 32, 3464.8, 45.657221, 0.989492, 0.0, 97.259696, 15.4024207937503
ffmpeg_vp9, cpu0 crf, 40, 2034.3, 42.984214, 0.983774, 0.0, 94.510197, 16.938905388205345
ffmpeg_vp9, cpu0 crf, 48, 1158.6, 40.253291, 0.974901, 0.0, 88.687112, 19.430587662732695
ffmpeg_vp9, cpu0 10bit crf, 16, 8595.4, 50.702893, 0.995635, 0.0, 98.869361, 7.758264713740922
ffmpeg_vp9, cpu0 10bit crf, 24, 5656.1, 48.627554, 0.993928, 0.0, 98.456013, 8.912576387532438
ffmpeg_vp9, cpu0 10bit crf, 32, 3410.6, 45.981003, 0.990661, 0.0, 97.327552, 10.285640678839405
ffmpeg_vp9, cpu0 10bit crf, 40, 2015.6, 43.182727, 0.985084, 0.0, 94.63665, 11.539434228115176
ffmpeg_vp9, cpu0 10bit crf, 48, 1142.1, 40.32554, 0.976011, 0.0, 88.654128, 13.084265290238006
ffmpeg_vp9, cpu3 crf, 16, 9300.8, 49.405862, 0.994107, 0.0, 98.717811, 48.95019157088122
ffmpeg_vp9, cpu3 crf, 24, 6430.2, 47.713124, 0.99233, 0.0, 98.274393, 53.635600335852224
ffmpeg_vp9, cpu3 crf, 32, 3786.5, 45.188807, 0.988559, 0.0, 96.926013, 59.73443052178792
ffmpeg_vp9, cpu3 crf, 40, 2202.3, 42.499837, 0.982392, 0.0, 93.77991, 65.07742461287694
ffmpeg_vp9, cpu3 crf, 48, 1239.6, 39.777184, 0.972961, 0.0, 87.388065, 69.26913901539797
ffmpeg_vp9, cpu3 10bit crf, 16, 9466.0, 50.234374, 0.995274, 0.0, 98.776458, 36.620041274936945
ffmpeg_vp9, cpu3 10bit crf, 24, 6241.3, 48.150137, 0.993421, 0.0, 98.283825, 39.74614235938278
ffmpeg_vp9, cpu3 10bit crf, 32, 3733.9, 45.474034, 0.989844, 0.0, 96.942816, 50.738681493248606
ffmpeg_vp9, cpu3 10bit crf, 40, 2178.6, 42.680331, 0.98385, 0.0, 93.821783, 45.42739297397241
ffmpeg_vp9, cpu3 10bit crf, 48, 1221.0, 39.845817, 0.974193, 0.0, 87.243421, 47.150870977266024
